Test,Type,Name,Value,Enabled,Tags,Notes
ex3_final_ex_1,variable,wireopt,211,enabled,,
ex3_final_ex_1,variable,CL,8p,enabled,,
ex3_final_ex_1,variable,W1,600u,enabled,,
ex3_final_ex_1,variable,L1,1u,enabled,,
ex3_final_ex_1,variable,W2,19.05u,enabled,,
ex3_final_ex_1,variable,L2,400n,enabled,,
ex3_final_ex_1,variable,W3,62.899u,enabled,,
ex3_final_ex_1,variable,L3,400n,enabled,,
ex3_final_ex_1,variable,W4,361.863u,enabled,,
ex3_final_ex_1,variable,L4,1u,enabled,,
ex3_final_ex_1,variable,L0,400n,enabled,,
ex3_final_ex_1,variable,W0,624.62u,enabled,,
ex3_final_ex_1,variable,L5,400n,enabled,,
ex3_final_ex_1,variable,W5,20u,enabled,,
ex3_final_ex_1,variable,L6,400n,enabled,,
ex3_final_ex_1,variable,W6,23.4616u,enabled,,
ex3_final_ex_1,variable,CS,50p,enabled,,
ex3_final_ex_1,variable,W7,20u,enabled,,
ex3_final_ex_1,variable,L7,400n,enabled,,
ex3_final_ex_1,variable,W8,1.4u,enabled,,
ex3_final_ex_1,variable,L8,1u,enabled,,
ex3_final_ex_1,variable,vin,100m,enabled,,
