Test,Type,Name,Value,Enabled,Tags,Notes
ex3_final_ex_1,variable,wireopt,211,enabled,,
ex3_final_ex_1,variable,CL,8p,enabled,,
ex3_final_ex_1,variable,W1,124u,enabled,,
ex3_final_ex_1,variable,L1,400n,enabled,,
ex3_final_ex_1,variable,W2,11.2116u,enabled,,
ex3_final_ex_1,variable,L2,400n,enabled,,
ex3_final_ex_1,variable,W3,62.899u,enabled,,
ex3_final_ex_1,variable,L3,400n,enabled,,
ex3_final_ex_1,variable,W4,155.616u,enabled,,
ex3_final_ex_1,variable,L4,1u,enabled,,
ex3_final_ex_1,variable,LIB,1u,enabled,,
ex3_final_ex_1,variable,WIB,614.3u,enabled,,
ex3_final_ex_1,variable,L5,4u,enabled,,
ex3_final_ex_1,variable,W5,341.791u,enabled,,
ex3_final_ex_1,variable,L6,8u,enabled,,
ex3_final_ex_1,variable,W6,37.9u,enabled,,
ex3_final_ex_1,variable,CS,100p,enabled,,
