Type,Name,Value,Enabled,Tags,Notes
variable,wireopt,211,enabled,,
variable,VDD,2,enabled,,
variable,CL,8p,enabled,,
variable,VG2,0.8,enabled,,
variable,VG4,1.5,enabled,,
variable,VGIB,1.15,enabled,,
variable,VIN,1,enabled,,
variable,VR1,1.15,enabled,,
variable,W1,328u,enabled,,
variable,L1,400n,enabled,,
variable,W2,6u,enabled,,
variable,L2,400n,enabled,,
variable,W3,77u,enabled,,
variable,L3,400n,enabled,,
variable,W4,60u,enabled,,
variable,L4,400n,enabled,,
variable,LIB,800n,enabled,,
variable,WIB,4.67u,enabled,,
