Test,Type,Name,Value,Enabled,Tags,Notes
ex3_final_ex_1,variable,wireopt,211,enabled,,
ex3_final_ex_1,variable,CL,8p,enabled,,
ex3_final_ex_1,variable,W1,1m,enabled,,
ex3_final_ex_1,variable,L1,600n,enabled,,
ex3_final_ex_1,variable,W2,7.487u,enabled,,
ex3_final_ex_1,variable,L2,400n,enabled,,
ex3_final_ex_1,variable,W3,168.969u,enabled,,
ex3_final_ex_1,variable,L3,1u,enabled,,
ex3_final_ex_1,variable,W4,155.616u,enabled,,
ex3_final_ex_1,variable,L4,1u,enabled,,
ex3_final_ex_1,variable,L0,400n,enabled,,
ex3_final_ex_1,variable,W0,152.837u,enabled,,
ex3_final_ex_1,variable,L5,400n,enabled,,
ex3_final_ex_1,variable,W5,8.5145u,enabled,,
ex3_final_ex_1,variable,L6,5u,enabled,,
ex3_final_ex_1,variable,W6,200u,enabled,,
ex3_final_ex_1,variable,CS,50p,enabled,,
ex3_final_ex_1,variable,W7,50u,enabled,,
ex3_final_ex_1,variable,L7,400n,enabled,,
ex3_final_ex_1,variable,W8,4.566689u,enabled,,
ex3_final_ex_1,variable,L8,1u,enabled,,
ex3_final_ex_1,variable,vin,650m,enabled,,
