Test,Type,Name,Value,Enabled,Tags,Notes
ex3_final_ex_1,variable,wireopt,211,enabled,,
ex3_final_ex_1,variable,CL,8p,enabled,,
ex3_final_ex_1,variable,W1,1m,enabled,,
ex3_final_ex_1,variable,L1,600n,enabled,,
ex3_final_ex_1,variable,W2,8.57u,enabled,,
ex3_final_ex_1,variable,L2,400n,enabled,,
ex3_final_ex_1,variable,W3,168.969u,enabled,,
ex3_final_ex_1,variable,L3,1u,enabled,,
ex3_final_ex_1,variable,W4,236.771u,enabled,,
ex3_final_ex_1,variable,L4,1u,enabled,,
ex3_final_ex_1,variable,L0,400n,enabled,,
ex3_final_ex_1,variable,W0,147.36u,enabled,,
ex3_final_ex_1,variable,L5,2u,enabled,,
ex3_final_ex_1,variable,W5,5u,enabled,,
ex3_final_ex_1,variable,L6,2u,enabled,,
ex3_final_ex_1,variable,W6,203u,enabled,,
ex3_final_ex_1,variable,CS,50p,enabled,,
ex3_final_ex_1,variable,W7,50u,enabled,,
ex3_final_ex_1,variable,L7,400n,enabled,,
ex3_final_ex_1,variable,W8,4.54797u,enabled,,
ex3_final_ex_1,variable,L8,1u,enabled,,
ex3_final_ex_1,variable,vin,1,enabled,,
ex3_final_ex_1,variable,Nfing,1,enabled,,
