Test,Type,Name,Value,Enabled,Tags,Notes
ex3_final_ex_1,variable,wireopt,211,enabled,,
ex3_final_ex_1,variable,CL,8p,enabled,,
ex3_final_ex_1,variable,W1,1m,enabled,,
ex3_final_ex_1,variable,L1,600n,enabled,,
ex3_final_ex_1,variable,W2,8.57u,enabled,,
ex3_final_ex_1,variable,L2,400n,enabled,,
ex3_final_ex_1,variable,W3,168.969u,enabled,,
ex3_final_ex_1,variable,L3,1u,enabled,,
ex3_final_ex_1,variable,W4,236.771u,enabled,,
ex3_final_ex_1,variable,L4,1u,enabled,,
ex3_final_ex_1,variable,L0,400n,enabled,,
ex3_final_ex_1,variable,W0,147.36u,enabled,,
ex3_final_ex_1,variable,L5,2u,enabled,,
ex3_final_ex_1,variable,W5,5u,enabled,,
ex3_final_ex_1,variable,L6,2u,enabled,,
ex3_final_ex_1,variable,W6,203u,enabled,,
ex3_final_ex_1,variable,CS,50p,enabled,,
ex3_final_ex_1,variable,W7,50u,enabled,,
ex3_final_ex_1,variable,L7,400n,enabled,,
ex3_final_ex_1,variable,W8,4.54797u,enabled,,
ex3_final_ex_1,variable,L8,1u,enabled,,
ex3_final_ex_1,variable,vin,1,enabled,,
ex3_final_ex_1,variable,Nfing,1,enabled,,
ex3_final_ex_1,variable,L_N1,200n,enabled,,
ex3_final_ex_1,variable,W_N1,30u,enabled,,
ex3_final_ex_1,variable,L_N2,3u,enabled,,
ex3_final_ex_1,variable,W_N2,30u,enabled,,
ex3_final_ex_1,variable,L_N3,3u,enabled,,
ex3_final_ex_1,variable,W_N3,562.232u,enabled,,
ex3_final_ex_1,variable,L_N4,3u,enabled,,
ex3_final_ex_1,variable,W_N4,3.08435u,enabled,,
ex3_final_ex_1,variable,L_N5,3u,enabled,,
ex3_final_ex_1,variable,W_N5,28.4642u,enabled,,
ex3_final_ex_1,variable,L_N6,1u,enabled,,
ex3_final_ex_1,variable,W_N6,99.2831u,enabled,,
ex3_final_ex_1,variable,L_N7,1u,enabled,,
ex3_final_ex_1,variable,W_N7,5.38628u,enabled,,
ex3_final_ex_1,variable,Vb2,1.4,enabled,,
ex3_final_ex_1,variable,Vs1,1.25,enabled,,
