Test,Type,Name,Value,Enabled,Tags,Notes
ex3_miller_ota_1,variable,wireopt,211,enabled,,
ex3_miller_ota_1,variable,L6,200n,enabled,,
ex3_miller_ota_1,variable,W6,166.7u,enabled,,
ex3_miller_ota_1,variable,L_LOAD,1u,enabled,,
ex3_miller_ota_1,variable,W_LOAD,167.2u,enabled,,
ex3_miller_ota_1,variable,L_IN,1u,enabled,,
ex3_miller_ota_1,variable,W_IN,20.5u,enabled,,
ex3_miller_ota_1,variable,W2,165.3u,enabled,,
ex3_miller_ota_1,variable,L2,1u,enabled,,
ex3_miller_ota_1,variable,L4,2u,enabled,,
ex3_miller_ota_1,variable,W4,85.3u,enabled,,
ex3_miller_ota_1,variable,FACTOR,5,enabled,,
ex3_miller_ota_1,variable,CC,100f:50f:800f,enabled,,
