Test,Type,Name,Value,Enabled,Tags,Notes
ex3_ex3_amplifier_1,variable,wireopt,211,enabled,,
ex3_ex3_amplifier_1,variable,W_IN,820u,enabled,,
ex3_ex3_amplifier_1,variable,L_IN,500n,enabled,,
ex3_ex3_amplifier_1,variable,W3,25.3u,enabled,,
ex3_ex3_amplifier_1,variable,L_INCAS,500n,enabled,,
ex3_ex3_amplifier_1,variable,W_INCAS,400u,enabled,,
ex3_ex3_amplifier_1,variable,VOUTDC,0.3,enabled,,
ex3_ex3_amplifier_1,variable,V_GATE,VIN_DRAIN + VTH_EST + 50e-3,enabled,,
ex3_ex3_amplifier_1,variable,VTH_EST,285.2m,enabled,,
ex3_ex3_amplifier_1,variable,VIN_DRAIN,0,enabled,,
ex3_ex3_amplifier_1,variable,VGATE_BIAS,-0.5,enabled,,
ex3_ex3_amplifier_1,variable,W_BIAS,218.4u,enabled,,
ex3_ex3_amplifier_1,variable,L_BIAS,1u,enabled,,
ex3_ex3_amplifier_1,variable,LLOAD,1u,enabled,,
ex3_ex3_amplifier_1,variable,WLOAD,248.6u,enabled,,
ex3_ex3_amplifier_1,variable,FACTOR,5,enabled,,
