Test,Type,Name,Value,Enabled,Tags,Notes
ex3_miller_ota_1,variable,wireopt,211,enabled,,
ex3_miller_ota_1,variable,L6,200n,enabled,,
ex3_miller_ota_1,variable,W6,166.7u,enabled,,
ex3_miller_ota_1,variable,L_LOAD,1u,enabled,,
ex3_miller_ota_1,variable,W_LOAD,333.9u,enabled,,
ex3_miller_ota_1,variable,W_SOURCE,11.9u,enabled,,
ex3_miller_ota_1,variable,L_SOURCE,2u,enabled,,
ex3_miller_ota_1,variable,L_IN,1u,enabled,,
ex3_miller_ota_1,variable,W_IN,180u,enabled,,
ex3_miller_ota_1,variable,W2,165.3u,enabled,,
ex3_miller_ota_1,variable,L2,1u,enabled,,
ex3_miller_ota_1,variable,L4,3u,enabled,,
ex3_miller_ota_1,variable,W4,12.8u,enabled,,
ex3_miller_ota_1,variable,FACTOR,3,enabled,,
ex3_miller_ota_1,variable,Cc,500f,enabled,,
ex3_miller_ota_1,variable,Rc,1.5k,enabled,,
ex3_miller_ota_1,variable,L4A,500n,enabled,,
ex3_miller_ota_1,variable,W4A,4.7u,enabled,,
